day,hour,pm10,pm25
21,0,194.0,48.2
21,3,138.0,39.8
21,6,144.0,45.8
21,9,242.0,64.9
21,12,270.0,70.6
21,15,242.0,64.9
21,18,228.0,50.2
21,21,228.0,50.2
22,0,228.0,50.2
22,3,228.0,50.2
22,6,242.0,64.9
22,9,250.0,66.8
22,12,170.0,48.6
22,15,98.0,33.528
22,18,48.6,18.084
22,21,48.6,18.084
23,0,92.0,27.912
23,3,140.0,40.6
23,6,200.0,48.6
23,9,228.0,50.2
23,12,200.0,48.6
23,15,200.0,48.6
23,18,144.0,45.8
23,21,132.0,31.188
24,0,144.0,41.0
24,3,168.0,41.8
24,6,166.0,37.8
24,9,174.0,47.8
24,12,228.0,50.6
24,15,144.0,45.8
24,18,132.0,30.252
24,21,144.0,45.8
25,0,232.0,57.3
25,3,258.0,66.8
25,6,274.0,95.3
25,9,300.0,99.1
25,12,274.0,95.3
25,15,270.0,70.6
25,18,242.0,64.9
25,21,242.0,64.9
26,0,270.0,70.6
26,3,272.0,87.7
26,6,292.0,97.2
26,9,316.0,182.4
26,12,387.6,198.4
26,15,387.6,198.4
26,18,387.6,198.4
26,21,387.6,198.4
27,0,387.6,198.4
27,3,326.0,184.4
27,6,276.0,102.9
27,9,270.0,70.6
27,12,268.0,70.6
27,15,240.0,64.9
27,18,228.0,50.2
27,21,228.0,50.2
28,0,228.0,50.2
28,3,228.0,50.2
28,6,228.0,50.2
28,9,228.0,50.2
28,12,228.0,50.2
28,15,228.0,50.2
28,18,144.0,45.8
28,21,108.0,28.848
29,0,90.0,22.764
29,3,88.0,19.956
29,6,88.0,20.892
29,9,88.0,20.892
29,12,88.0,19.956
29,15,90.0,25.104
29,18,118.0,29.316
29,21,118.0,29.316
