day,hour,pm10,pm25
14,8,58.0,12.936
14,11,51.84,12.936
14,14,37.8,8.88
14,17,27.0,6.24
14,20,31.32,7.2
14,23,21.6,5.76
15,2,22.68,6.0
15,5,31.32,11.52
15,8,46.44,11.04
15,11,54.0,14.808
15,14,66.0,16.212
15,17,60.0,13.872
15,20,46.44,12.936
15,23,54.0,12.936
16,2,60.0,15.276
16,5,64.0,16.212
16,8,58.0,13.404
16,11,45.36,13.404
16,14,44.28,11.04
16,17,22.68,7.44
16,20,19.44,4.56
16,23,19.44,4.32
17,2,18.36,4.32
17,5,20.52,5.04
17,8,19.44,4.56
17,11,19.44,4.56
17,14,20.52,5.28
17,17,18.36,4.8
17,20,17.28,4.08
17,23,17.28,4.32
