day,hour,pm10,pm25
2,0,168.0,47.0
2,3,158.0,36.2
2,6,138.0,35.4
2,9,92.0,28.38
2,12,39.96,16.68
2,15,21.6,6.0
2,18,21.6,4.8
2,21,21.6,8.88
3,0,49.68,18.084
3,3,90.0,23.232
3,6,108.0,28.848
3,9,58.0,26.04
3,12,21.6,8.88
3,15,21.6,4.8
3,18,21.6,6.0
3,21,39.96,16.68
4,0,92.0,27.912
4,3,144.0,45.8
4,6,236.0,61.1
4,9,264.0,68.7
4,12,262.0,68.7
4,15,230.0,59.2
4,18,222.0,49.8
4,21,228.0,50.2
5,0,242.0,64.9
5,3,250.0,66.8
5,6,178.0,49.0
5,9,100.0,34.932
5,12,88.0,20.424
5,15,88.0,20.424
5,18,88.0,19.956
5,21,88.0,19.956
6,0,92.0,27.912
6,3,132.0,31.656
6,6,140.0,32.124
6,9,150.0,46.2
6,12,144.0,45.8
6,15,92.0,27.912
6,18,88.0,19.956
6,21,92.0,27.912
7,0,144.0,45.8
7,3,228.0,50.2
7,6,242.0,64.9
7,9,270.0,70.6
7,12,268.0,70.6
7,15,232.0,63.0
7,18,140.0,44.2
7,21,128.0,29.784
8,0,140.0,40.6
8,3,200.0,48.6
8,6,228.0,50.2
8,9,228.0,50.2
8,12,228.0,50.2
8,15,228.0,50.2
8,18,228.0,50.2
8,21,194.0,48.2
9,0,138.0,39.8
9,3,144.0,45.8
9,6,236.0,59.2
9,9,262.0,68.7
9,12,270.0,70.6
9,15,242.0,64.9
9,18,228.0,50.2
9,21,228.0,50.2
10,0,228.0,50.2
10,3,228.0,50.2
10,6,242.0,64.9
10,9,274.0,91.5
10,12,274.0,91.5
10,15,270.0,70.6
10,18,242.0,64.9
10,21,242.0,64.9
