day,hour,pm10,pm25
28,0,252.0,74.4
28,3,144.0,46.2
28,6,144.0,45.8
28,9,146.0,45.8
28,12,43.2,26.04
28,15,16.2,4.8
28,18,16.2,4.32
28,21,31.32,16.68
29,0,90.0,25.104
29,3,118.0,29.316
29,6,132.0,30.72
29,9,94.0,28.38
29,12,39.96,17.148
29,15,31.32,6.96
29,18,31.32,6.96
29,21,39.96,16.68
30,0,92.0,27.912
30,3,144.0,45.8
30,6,228.0,50.2
30,9,146.0,45.8
30,12,92.0,28.38
30,15,48.6,18.084
30,18,44.28,9.84
30,21,48.6,18.084
31,0,104.0,39.4
31,3,200.0,48.6
31,6,242.0,64.9
31,9,264.0,68.7
31,12,118.0,57.3
31,15,88.0,19.956
31,18,88.0,19.956
31,21,104.0,40.2
1,0,202.0,49.0
1,3,228.0,50.2
1,6,242.0,64.9
1,9,272.0,87.7
1,12,256.0,82.0
1,15,144.0,45.8
1,18,132.0,30.252
1,21,144.0,45.8
2,0,228.0,50.2
2,3,242.0,64.9
2,6,274.0,95.3
2,9,300.0,99.1
2,12,272.0,95.3
2,15,240.0,64.9
2,18,228.0,50.2
2,21,242.0,64.9
3,0,270.0,70.6
3,3,274.0,95.3
3,6,300.0,99.1
3,9,316.0,182.4
3,12,387.6,198.4
3,15,387.6,198.4
3,18,387.6,198.4
3,21,387.6,198.4
4,0,326.0,184.4
4,3,310.0,108.6
4,6,320.0,159.4
4,9,367.3,169.4
4,12,270.0,150.4
4,15,110.0,46.2
4,18,94.0,29.316
4,21,152.0,47.0
5,0,248.0,66.8
5,3,276.0,102.9
5,6,318.0,151.4
5,9,310.0,150.4
5,12,300.0,99.1
5,15,300.0,99.1
5,18,274.0,95.3
5,21,274.0,95.3
