day,hour,pm10,pm25
30,0,92.0,27.912
30,3,144.0,45.8
30,6,228.0,50.2
30,9,146.0,45.8
30,12,92.0,28.38
30,15,62.0,18.552
30,18,46.44,12.468
30,21,48.6,18.084
31,0,110.0,44.6
31,3,224.0,49.8
31,6,242.0,64.9
31,9,270.0,70.6
31,12,156.0,63.0
31,15,92.0,27.912
31,18,88.0,19.956
31,21,92.0,27.912
1,0,144.0,45.8
1,3,228.0,50.2
1,6,242.0,64.9
1,9,270.0,70.6
1,12,216.0,64.9
1,15,140.0,41.0
1,18,132.0,30.252
1,21,144.0,45.8
2,0,228.0,50.2
2,3,240.0,64.9
2,6,272.0,95.3
2,9,300.0,99.1
2,12,274.0,95.3
2,15,270.0,70.6
2,18,270.0,70.6
2,21,274.0,95.3
3,0,300.0,99.1
3,3,300.0,99.1
3,6,292.0,97.2
3,9,310.0,181.4
3,12,326.0,184.4
3,15,260.0,99.1
3,18,236.0,57.3
3,21,258.0,66.8
4,0,250.0,66.8
4,3,234.0,51.8
4,6,246.0,66.8
4,9,250.0,66.8
4,12,228.0,51.4
4,15,110.0,45.0
4,18,92.0,28.38
4,21,146.0,45.8
5,0,228.0,50.2
5,3,228.0,50.2
5,6,242.0,64.9
5,9,270.0,70.6
5,12,270.0,70.6
5,15,270.0,70.6
5,18,270.0,70.6
5,21,270.0,70.6
6,0,258.0,66.8
6,3,264.0,95.3
6,6,304.0,102.9
6,9,300.0,101.0
6,12,300.0,99.1
6,15,300.0,99.1
6,18,300.0,101.0
6,21,320.0,182.4
7,0,387.6,198.4
7,3,320.0,182.4
7,6,300.0,101.0
7,9,300.0,99.1
7,12,284.0,97.2
7,15,284.0,97.2
7,18,300.0,99.1
7,21,300.0,99.1
