day,hour,pm10,pm25
25,0,228.0,51.4
25,3,250.0,66.8
25,6,274.0,95.3
25,9,300.0,99.1
25,12,274.0,95.3
25,15,270.0,70.6
25,18,264.0,68.7
25,21,264.0,64.9
26,0,264.0,68.7
26,3,272.0,87.7
26,6,292.0,97.2
26,9,300.0,99.1
26,12,312.0,155.4
26,15,368.7,193.4
26,18,387.6,198.4
26,21,387.6,198.4
27,0,387.6,198.4
27,3,387.6,198.4
27,6,276.0,174.4
27,9,148.0,48.2
27,12,146.0,45.8
27,15,228.0,50.2
27,18,242.0,64.9
27,21,270.0,70.6
28,0,188.0,64.9
28,3,136.0,36.2
28,6,144.0,45.8
28,9,168.0,47.0
28,12,54.0,31.656
28,15,21.6,7.2
28,18,16.2,4.32
28,21,21.6,14.34
29,0,78.0,24.168
29,3,124.0,39.8
29,6,146.0,41.0
29,9,74.0,28.38
29,12,28.08,12.0
29,15,24.84,6.48
29,18,31.32,6.96
29,21,39.96,16.68
30,0,90.0,25.104
30,3,118.0,29.316
30,6,144.0,45.8
30,9,110.0,45.0
30,12,48.6,18.084
30,15,45.36,10.8
30,18,52.92,18.084
30,21,88.0,19.956
31,0,104.0,40.2
31,3,202.0,49.0
31,6,228.0,51.4
31,9,152.0,47.8
31,12,92.0,29.316
31,15,48.6,17.616
31,18,44.28,9.84
31,21,49.68,19.02
1,0,112.0,45.0
1,3,228.0,50.2
1,6,242.0,64.9
1,9,270.0,70.6
1,12,156.0,63.0
1,15,92.0,27.912
1,18,92.0,27.912
1,21,132.0,31.188
2,0,148.0,46.2
2,3,238.0,61.1
2,6,268.0,85.8
2,9,292.0,97.2
2,12,258.0,89.6
2,15,144.0,45.8
2,18,132.0,30.252
2,21,132.0,30.252
