day,hour,pm10,pm25
5,8,116.0,27.444
5,11,114.0,27.912
5,14,84.0,19.956
5,17,54.0,17.616
5,20,56.0,13.404
5,23,64.0,16.68
6,2,74.0,21.828
6,5,94.0,21.828
6,8,104.0,24.636
6,11,94.0,23.232
6,14,86.0,23.232
6,17,68.0,22.296
6,20,51.84,12.936
6,23,56.0,12.936
7,2,56.0,19.956
7,5,90.0,24.636
7,8,108.0,25.104
7,11,104.0,24.168
7,14,118.0,30.252
7,17,108.0,27.444
7,20,49.68,17.148
7,23,48.6,13.872
8,2,62.0,20.424
8,5,100.0,29.784
8,8,130.0,30.72
8,11,130.0,33.06
8,14,156.0,37.8
8,17,106.0,36.6
8,20,60.0,17.148
8,23,52.92,14.34
