day,hour,pm10,pm25
24,8,48.6,12.0
24,11,51.84,12.936
24,14,56.0,13.404
24,17,49.68,11.76
24,20,46.44,11.76
24,23,43.2,11.04
25,2,51.84,13.872
25,5,58.0,14.34
25,8,49.68,12.468
25,11,45.36,10.8
25,14,42.12,11.04
25,17,54.0,15.276
25,20,58.0,14.34
25,23,58.0,17.616
26,2,78.0,24.636
26,5,126.0,30.252
26,8,122.0,31.656
26,11,108.0,26.976
26,14,106.0,26.976
26,17,92.0,22.296
26,20,80.0,23.232
26,23,72.0,22.764
27,2,90.0,21.828
27,5,68.0,16.68
27,8,64.0,15.276
27,11,62.0,14.808
27,14,68.0,15.744
27,17,54.0,16.212
27,20,48.6,12.936
27,23,66.0,18.552
