day,hour,pm10,pm25
15,8,35.64,8.16
15,11,39.96,10.8
15,14,60.0,15.744
15,17,49.68,13.404
15,20,42.12,10.56
15,23,43.2,11.04
16,2,51.84,12.936
16,5,56.0,12.936
16,8,50.76,12.468
16,11,38.88,9.84
16,14,39.96,9.36
16,17,34.56,8.16
16,20,23.76,6.72
16,23,22.68,5.04
17,2,20.52,5.04
17,5,20.52,4.8
17,8,19.44,4.56
17,11,18.36,4.32
17,14,19.44,5.04
17,17,21.6,5.04
17,20,21.6,5.04
17,23,22.68,5.28
18,2,22.68,6.24
18,5,30.24,6.96
18,8,27.0,6.72
18,11,28.08,6.96
18,14,35.64,9.12
18,17,33.48,7.92
18,20,35.64,8.16
18,23,33.48,8.4
