day,hour,pm10,pm25
3,8,32.4,7.92
3,11,38.88,10.32
3,14,49.68,14.808
3,17,29.16,13.872
3,20,25.92,6.24
3,23,25.92,7.2
4,2,42.12,12.936
4,5,58.0,13.872
4,8,58.0,13.872
4,11,62.0,16.212
4,14,78.0,20.892
4,17,49.68,15.744
4,20,50.76,12.468
4,23,58.0,13.404
5,2,62.0,18.084
5,5,86.0,23.232
5,8,108.0,25.104
5,11,102.0,24.168
5,14,94.0,23.7
5,17,54.0,24.636
5,20,48.6,12.468
5,23,47.52,11.04
6,2,46.44,15.744
6,5,70.0,18.084
6,8,92.0,29.316
6,11,120.0,29.316
6,14,96.0,22.764
6,17,76.0,19.956
6,20,39.96,12.936
6,23,30.24,7.2
