day,hour,pm10,pm25
22,8,64.0,16.212
22,11,68.0,15.276
22,14,62.0,17.616
22,17,46.44,12.468
22,20,43.2,10.32
22,23,41.04,9.6
23,2,45.36,11.04
23,5,48.6,12.0
23,8,48.6,11.52
23,11,46.44,10.56
23,14,47.52,11.76
23,17,41.04,10.32
23,20,33.48,8.88
23,23,38.88,8.88
24,2,38.88,12.0
24,5,62.0,15.276
24,8,58.0,13.404
24,11,38.88,11.04
24,14,45.36,11.52
24,17,42.12,11.04
24,20,44.28,12.936
24,23,66.0,15.744
25,2,72.0,16.68
25,5,51.84,16.212
25,8,49.68,11.52
25,11,50.76,12.936
25,14,68.0,20.892
25,17,100.0,25.572
25,20,76.0,19.956
25,23,72.0,17.616
