day,hour,pm10,pm25
18,8,24.84,6.24
18,11,29.16,7.68
18,14,41.04,10.56
18,17,35.64,10.32
18,20,36.72,8.64
18,23,37.8,10.32
19,2,46.44,15.744
19,5,68.0,18.552
19,8,78.0,20.424
19,11,100.0,25.572
19,14,96.0,27.444
19,17,56.0,14.808
19,20,47.52,12.0
19,23,47.52,11.28
20,2,52.92,12.936
20,5,58.0,12.936
20,8,62.0,16.212
20,11,74.0,17.148
20,14,64.0,17.616
20,17,48.6,14.34
20,20,42.12,10.32
20,23,39.96,9.36
21,2,45.36,12.468
21,5,68.0,20.424
21,8,92.0,21.36
21,11,88.0,23.232
21,14,76.0,19.956
21,17,46.44,17.148
21,20,35.64,8.88
21,23,42.12,12.0
