day,hour,pm10,pm25
20,0,208.0,59.2
20,3,200.0,48.2
20,6,234.0,61.1
20,9,236.0,61.1
20,12,144.0,45.8
20,15,144.0,45.8
20,18,228.0,50.2
20,21,228.0,50.2
21,0,194.0,48.2
21,3,138.0,39.8
21,6,144.0,45.8
21,9,242.0,64.9
21,12,270.0,70.6
21,15,242.0,64.9
21,18,228.0,50.2
21,21,228.0,50.2
22,0,228.0,50.2
22,3,228.0,50.2
22,6,242.0,64.9
22,9,250.0,66.8
22,12,146.0,47.4
22,15,92.0,28.38
22,18,48.6,18.084
22,21,48.6,18.084
23,0,110.0,45.0
23,3,202.0,49.0
23,6,202.0,49.0
23,9,202.0,49.0
23,12,202.0,49.0
23,15,228.0,50.2
23,18,228.0,50.2
23,21,148.0,46.2
24,0,144.0,41.4
24,3,202.0,49.0
24,6,228.0,50.2
24,9,232.0,57.3
24,12,232.0,57.3
24,15,228.0,50.2
24,18,228.0,50.2
24,21,232.0,55.0
25,0,258.0,66.8
25,3,270.0,70.6
25,6,272.0,87.7
25,9,292.0,97.2
25,12,274.0,95.3
25,15,242.0,64.9
25,18,232.0,57.3
25,21,262.0,82.0
26,0,306.0,180.4
26,3,316.0,182.4
26,6,316.0,174.4
26,9,382.0,196.4
26,12,387.6,198.4
26,15,387.6,198.4
26,18,387.6,198.4
26,21,387.6,198.4
27,0,387.6,198.4
27,3,316.0,182.4
27,6,300.0,99.1
27,9,302.0,106.7
27,12,302.0,106.7
27,15,300.0,99.1
27,18,274.0,95.3
27,21,188.0,64.9
28,0,174.0,47.4
28,3,228.0,50.2
28,6,110.0,45.0
28,9,88.0,19.956
28,12,88.0,19.956
28,15,92.0,27.912
28,18,144.0,45.8
28,21,144.0,45.8
