day,hour,pm10,pm25
27,8,96.0,23.7
27,11,78.0,24.168
27,14,70.0,15.744
27,17,38.88,10.8
27,20,42.12,9.6
27,23,41.04,10.32
28,2,46.44,13.872
28,5,72.0,23.232
28,8,118.0,30.72
28,11,106.0,29.784
28,14,108.0,25.572
28,17,76.0,25.572
28,20,49.68,14.808
28,23,56.0,13.872
29,2,56.0,16.212
29,5,82.0,23.232
29,8,84.0,21.36
29,11,88.0,21.828
29,14,76.0,21.36
29,17,44.28,14.808
29,20,46.44,11.04
29,23,50.76,11.76
30,2,54.0,18.552
30,5,82.0,19.488
30,8,64.0,17.616
30,11,64.0,17.616
30,14,82.0,19.956
30,17,72.0,19.956
30,20,33.48,13.404
30,23,28.08,10.56
