day,hour,pm10,pm25
13,8,46.44,12.468
13,11,70.0,17.148
13,14,66.0,17.616
13,17,52.92,12.468
13,20,45.36,11.28
13,23,44.28,10.8
14,2,41.04,12.468
14,5,60.0,14.808
14,8,46.44,12.468
14,11,47.52,10.8
14,14,38.88,9.6
14,17,35.64,8.16
14,20,31.32,8.4
14,23,36.72,8.64
15,2,37.8,11.04
15,5,56.0,14.808
15,8,62.0,13.872
15,11,64.0,14.808
15,14,66.0,15.276
15,17,51.84,13.404
15,20,50.76,11.52
15,23,48.6,11.76
16,2,54.0,13.872
16,5,68.0,17.148
16,8,64.0,16.212
16,11,45.36,12.468
16,14,33.48,9.6
16,17,23.76,6.24
16,20,16.2,4.32
16,23,17.28,4.32
