day,hour,pm10,pm25
26,0,264.0,68.7
26,3,272.0,87.7
26,6,292.0,97.2
26,9,300.0,99.1
26,12,312.0,155.4
26,15,368.7,193.4
26,18,387.6,198.4
26,21,387.6,198.4
27,0,387.6,198.4
27,3,387.6,198.4
27,6,276.0,174.4
27,9,230.0,52.2
27,12,228.0,50.2
27,15,228.0,50.2
27,18,242.0,64.9
27,21,272.0,78.2
28,0,252.0,74.4
28,3,144.0,46.2
28,6,144.0,45.8
28,9,168.0,47.0
28,12,50.76,30.72
28,15,21.6,6.24
28,18,21.6,4.8
28,21,31.32,16.68
29,0,92.0,27.912
29,3,132.0,30.252
29,6,132.0,30.72
29,9,94.0,28.38
29,12,35.64,17.148
29,15,25.92,6.48
29,18,31.32,6.96
29,21,39.96,16.68
30,0,92.0,27.912
30,3,132.0,30.252
30,6,132.0,30.72
30,9,92.0,28.38
30,12,48.6,18.084
30,15,44.28,9.84
30,18,44.28,9.84
30,21,48.6,18.084
31,0,102.0,38.2
31,3,194.0,48.2
31,6,228.0,51.4
31,9,152.0,47.8
31,12,70.0,28.38
31,15,46.44,12.468
31,18,51.84,20.424
31,21,120.0,45.4
1,0,228.0,50.2
1,3,228.0,50.2
1,6,242.0,64.9
1,9,272.0,85.8
1,12,256.0,80.1
1,15,140.0,45.8
1,18,126.0,29.316
1,21,134.0,39.4
2,0,194.0,48.2
2,3,238.0,61.1
2,6,264.0,70.6
2,9,274.0,87.7
2,12,256.0,83.9
2,15,228.0,50.2
2,18,228.0,50.2
2,21,228.0,50.2
3,0,228.0,50.2
3,3,228.0,50.2
3,6,242.0,64.9
3,9,274.0,95.3
3,12,214.0,89.6
3,15,100.0,34.464
3,18,90.0,22.764
3,21,90.0,22.764
