day,hour,pm10,pm25
20,8,84.0,25.572
20,11,118.0,29.784
20,14,86.0,27.444
20,17,49.68,13.404
20,20,39.96,10.08
20,23,37.8,8.64
21,2,39.96,12.468
21,5,72.0,22.764
21,8,112.0,29.784
21,11,102.0,26.976
21,14,96.0,24.168
21,17,52.92,19.956
21,20,38.88,10.08
21,23,39.96,11.52
22,2,56.0,14.34
22,5,66.0,16.212
22,8,58.0,14.34
22,11,62.0,13.872
22,14,64.0,15.276
22,17,48.6,12.936
22,20,46.44,11.28
22,23,46.44,12.0
23,2,66.0,17.616
23,5,74.0,17.616
23,8,64.0,16.212
23,11,58.0,14.34
23,14,58.0,13.872
23,17,49.68,12.468
23,20,43.2,11.28
23,23,35.64,8.64
