day,hour,pm10,pm25
5,0,242.0,64.9
5,3,260.0,66.8
5,6,236.0,57.3
5,9,110.0,45.8
5,12,64.0,19.02
5,15,62.0,13.872
5,18,64.0,19.02
5,21,88.0,19.956
6,0,92.0,27.912
6,3,132.0,31.656
6,6,150.0,46.2
6,9,228.0,50.6
6,12,228.0,50.6
6,15,144.0,45.8
6,18,132.0,30.252
6,21,144.0,45.8
7,0,228.0,51.4
7,3,250.0,66.8
7,6,274.0,91.5
7,9,274.0,91.5
7,12,208.0,64.9
7,15,126.0,39.0
7,18,90.0,25.104
7,21,92.0,27.912
8,0,144.0,45.8
8,3,228.0,50.2
8,6,242.0,64.9
8,9,270.0,70.6
8,12,242.0,64.9
8,15,200.0,48.6
8,18,140.0,40.6
8,21,132.0,30.252
9,0,144.0,45.8
9,3,228.0,50.2
9,6,242.0,64.9
9,9,270.0,70.6
9,12,262.0,68.7
9,15,236.0,59.2
9,18,228.0,50.2
9,21,228.0,50.2
10,0,242.0,64.9
10,3,270.0,70.6
10,6,272.0,87.7
10,9,290.0,89.6
10,12,288.0,89.6
10,15,272.0,85.8
10,18,242.0,64.9
10,21,228.0,50.2
11,0,228.0,50.2
11,3,242.0,64.9
11,6,274.0,91.5
11,9,298.0,99.1
11,12,300.0,99.1
11,15,274.0,95.3
11,18,270.0,70.6
11,21,242.0,64.9
12,0,228.0,50.2
12,3,232.0,54.2
12,6,256.0,66.8
12,9,270.0,78.2
12,12,282.0,95.3
12,15,298.0,99.1
12,18,300.0,99.1
12,21,300.0,99.1
13,0,300.0,99.1
13,3,300.0,99.1
13,6,312.0,155.4
13,9,368.7,193.4
13,12,316.0,182.4
13,15,300.0,99.1
13,18,298.0,99.1
13,21,298.0,99.1
