day,hour,pm10,pm25
1,0,242.0,64.9
1,3,270.0,70.6
1,6,270.0,70.6
1,9,242.0,64.9
1,12,110.0,45.0
1,15,88.0,20.424
1,18,92.0,27.912
1,21,144.0,45.8
2,0,168.0,47.0
2,3,158.0,36.2
2,6,138.0,35.4
2,9,92.0,28.38
2,12,39.96,16.68
2,15,21.6,6.0
2,18,21.6,4.8
2,21,21.6,8.88
3,0,48.6,18.084
3,3,90.0,22.764
3,6,108.0,28.848
3,9,92.0,27.912
3,12,31.32,16.68
3,15,21.6,4.8
3,18,21.6,8.88
3,21,48.6,18.084
4,0,104.0,40.2
4,3,202.0,49.0
4,6,242.0,64.9
4,9,272.0,87.7
4,12,268.0,85.8
4,15,152.0,57.3
4,18,132.0,30.252
4,21,144.0,45.8
5,0,228.0,51.4
5,3,232.0,51.8
5,6,178.0,48.2
5,9,160.0,37.8
5,12,114.0,33.996
5,15,110.0,30.252
5,18,150.0,46.2
5,21,228.0,50.2
6,0,228.0,50.2
6,3,242.0,64.9
6,6,270.0,72.5
6,9,272.0,72.5
6,12,164.0,64.9
6,15,132.0,31.188
6,18,132.0,30.252
6,21,140.0,41.0
7,0,202.0,49.0
7,3,228.0,50.2
7,6,228.0,50.2
7,9,144.0,45.8
7,12,92.0,27.912
7,15,88.0,19.956
7,18,92.0,27.912
7,21,144.0,45.8
8,0,228.0,50.2
8,3,228.0,50.2
8,6,228.0,50.2
8,9,228.0,50.2
8,12,228.0,50.2
8,15,232.0,54.2
8,18,258.0,66.8
8,21,258.0,66.8
