day,hour,pm10,pm25
19,8,78.0,19.956
19,11,96.0,24.168
19,14,98.0,26.976
19,17,58.0,25.104
19,20,54.0,12.468
19,23,45.36,10.8
20,2,45.36,14.808
20,5,68.0,17.616
20,8,84.0,25.104
20,11,108.0,26.508
20,14,68.0,25.104
20,17,41.04,14.808
20,20,36.72,8.64
20,23,35.64,8.4
21,2,34.56,12.468
21,5,76.0,24.168
21,8,128.0,32.592
21,11,122.0,33.996
21,14,84.0,20.892
21,17,51.84,16.212
21,20,42.12,9.84
21,23,42.12,12.936
22,2,66.0,18.552
22,5,82.0,19.956
22,8,88.0,22.764
22,11,98.0,22.764
22,14,86.0,22.296
22,17,66.0,18.084
22,20,62.0,14.34
22,23,66.0,15.744
