day,hour,pm10,pm25
26,8,96.0,26.04
26,11,74.0,32.124
26,14,56.0,16.68
26,17,100.0,25.104
26,20,78.0,22.296
26,23,82.0,22.296
27,2,96.0,23.232
27,5,86.0,20.892
27,8,90.0,21.828
27,11,88.0,21.36
27,14,88.0,21.36
27,17,58.0,19.02
27,20,47.52,13.404
27,23,51.84,11.76
28,2,49.68,16.212
28,5,70.0,18.552
28,8,82.0,23.232
28,11,104.0,25.104
28,14,80.0,24.168
28,17,34.56,12.468
28,20,30.24,6.96
28,23,33.48,11.28
29,2,49.68,17.148
29,5,98.0,23.232
29,8,114.0,29.784
29,11,92.0,26.976
29,14,58.0,17.616
29,17,24.84,8.88
29,20,25.92,7.68
29,23,34.56,10.32
