day,hour,pm10,pm25
30,8,49.68,12.936
30,11,50.76,11.52
30,14,51.84,15.744
30,17,64.0,18.084
30,20,35.64,10.56
30,23,27.0,7.44
31,2,35.64,12.936
31,5,64.0,15.276
31,8,74.0,21.828
31,11,100.0,24.636
31,14,96.0,25.104
31,17,68.0,21.828
31,20,34.56,10.8
31,23,35.64,9.12
1,2,33.48,14.808
1,5,47.52,13.404
1,8,47.52,13.872
1,11,64.0,16.212
1,14,62.0,16.212
1,17,58.0,13.404
1,20,41.04,11.52
1,23,28.08,7.44
2,2,30.24,7.68
2,5,35.64,9.6
2,8,39.96,9.36
2,11,38.88,9.6
2,14,41.04,10.56
2,17,22.68,10.8
2,20,22.68,6.24
2,23,22.68,5.76
