day,hour,pm10,pm25
12,8,37.8,9.84
12,11,50.76,15.276
12,14,49.68,17.148
12,17,34.56,9.6
12,20,22.68,6.48
12,23,25.92,7.92
13,2,39.96,15.276
13,5,56.0,13.872
13,8,38.88,13.872
13,11,35.64,9.12
13,14,28.08,8.16
13,17,27.0,7.44
13,20,33.48,9.36
13,23,42.12,10.32
14,2,44.28,9.84
14,5,46.44,12.468
14,8,52.92,12.936
14,11,54.0,12.936
14,14,54.0,13.404
14,17,58.0,13.404
14,20,49.68,11.52
14,23,52.92,14.34
15,2,62.0,14.808
15,5,66.0,16.212
15,8,66.0,15.276
15,11,66.0,15.276
15,14,66.0,16.212
15,17,56.0,15.276
15,20,49.68,11.76
15,23,38.88,10.56
