day,hour,pm10,pm25
25,8,51.84,13.872
25,11,58.0,12.936
25,14,62.0,16.212
25,17,62.0,15.276
25,20,56.0,13.404
25,23,46.44,11.04
26,2,46.44,20.892
26,5,98.0,26.508
26,8,124.0,30.72
26,11,118.0,32.124
26,14,108.0,27.912
26,17,106.0,26.508
26,20,96.0,25.572
26,23,96.0,23.232
27,2,94.0,21.828
27,5,72.0,19.488
27,8,62.0,16.68
27,11,50.76,13.872
27,14,51.84,16.212
27,17,64.0,16.212
27,20,66.0,16.212
27,23,66.0,16.212
28,2,45.36,13.872
28,5,44.28,12.468
28,8,31.32,11.76
28,11,30.24,9.6
28,14,56.0,18.552
28,17,64.0,19.488
28,20,62.0,13.872
28,23,66.0,16.68
