day,hour,pm10,pm25
6,8,90.0,21.36
6,11,84.0,19.488
6,14,88.0,23.7
6,17,70.0,23.7
6,20,60.0,14.34
6,23,66.0,16.212
7,2,68.0,19.956
7,5,90.0,25.572
7,8,124.0,30.252
7,11,132.0,31.656
7,14,144.0,34.464
7,17,124.0,31.656
7,20,60.0,23.232
7,23,51.84,13.404
8,2,58.0,17.616
8,5,84.0,24.168
8,8,116.0,26.508
8,11,122.0,31.656
8,14,140.0,35.8
8,17,62.0,29.784
8,20,49.68,12.0
8,23,45.36,14.808
9,2,68.0,21.828
9,5,51.84,16.68
9,8,44.28,10.56
9,11,36.72,9.12
9,14,45.36,14.808
9,17,48.6,15.276
9,20,35.64,9.84
9,23,29.16,7.2
