day,hour,pm10,pm25
2,8,16.2,5.04
2,11,14.04,3.36
2,14,14.04,3.36
2,17,9.72,2.88
2,20,8.64,3.12
2,23,17.28,4.32
3,2,19.44,7.44
3,5,35.64,9.12
3,8,30.24,7.44
3,11,36.72,10.56
3,14,41.04,11.28
3,17,29.16,8.16
3,20,27.0,6.24
3,23,29.16,7.2
4,2,42.12,13.404
4,5,56.0,14.34
4,8,64.0,15.276
4,11,64.0,14.808
4,14,78.0,19.488
4,17,41.04,12.0
4,20,39.96,10.32
4,23,48.6,13.872
5,2,68.0,15.744
5,5,76.0,22.296
5,8,104.0,26.04
5,11,94.0,24.168
5,14,82.0,20.892
5,17,58.0,16.68
5,20,51.84,14.808
5,23,41.04,9.84
