day,hour,pm10,pm25
4,8,60.0,13.872
4,11,62.0,17.148
4,14,86.0,21.36
4,17,62.0,17.148
4,20,58.0,13.404
4,23,58.0,15.276
5,2,72.0,20.424
5,5,82.0,21.828
5,8,86.0,25.104
5,11,106.0,25.572
5,14,82.0,19.488
5,17,42.12,16.68
5,20,45.36,11.28
5,23,50.76,11.76
6,2,56.0,17.616
6,5,80.0,19.02
6,8,88.0,20.424
6,11,90.0,20.892
6,14,82.0,22.296
6,17,51.84,19.956
6,20,37.8,8.88
6,23,38.88,11.28
7,2,60.0,17.148
7,5,92.0,25.104
7,8,114.0,27.912
7,11,114.0,26.508
7,14,90.0,24.636
7,17,68.0,19.488
7,20,54.0,12.936
7,23,62.0,15.744
