day,hour,pm10,pm25
14,0,270.0,70.6
14,3,270.0,70.6
14,6,274.0,91.5
14,9,274.0,91.5
14,12,270.0,70.6
14,15,258.0,66.8
14,18,260.0,68.7
14,21,276.0,95.3
15,0,290.0,97.2
15,3,290.0,97.2
15,6,300.0,99.1
15,9,310.0,150.4
15,12,300.0,148.5
15,15,272.0,85.8
15,18,270.0,70.6
15,21,272.0,85.8
16,0,288.0,87.7
16,3,288.0,87.7
16,6,288.0,87.7
16,9,290.0,97.2
16,12,274.0,95.3
16,15,270.0,70.6
16,18,270.0,70.6
16,21,270.0,70.6
17,0,270.0,70.6
17,3,132.0,63.0
17,6,90.0,22.296
17,9,90.0,24.636
17,12,104.0,25.104
17,15,90.0,22.764
17,18,92.0,27.912
17,21,144.0,45.8
18,0,228.0,50.2
18,3,242.0,64.9
18,6,270.0,70.6
18,9,270.0,70.6
18,12,242.0,64.9
18,15,200.0,48.6
18,18,200.0,48.6
18,21,228.0,50.2
19,0,228.0,50.2
19,3,228.0,50.2
19,6,242.0,64.9
19,9,274.0,95.3
19,12,300.0,99.1
19,15,274.0,95.3
19,18,270.0,70.6
19,21,270.0,70.6
20,0,270.0,70.6
20,3,270.0,70.6
20,6,272.0,87.7
20,9,290.0,89.6
20,12,256.0,82.0
20,15,200.0,48.6
20,18,200.0,48.2
20,21,200.0,48.2
21,0,200.0,48.2
21,3,224.0,49.8
21,6,236.0,61.1
21,9,264.0,68.7
21,12,242.0,64.9
21,15,228.0,50.2
21,18,228.0,50.2
21,21,228.0,50.2
