day,hour,pm10,pm25
29,0,90.0,25.104
29,3,118.0,29.316
29,6,132.0,30.72
29,9,94.0,28.38
29,12,39.96,17.148
29,15,31.32,6.96
29,18,31.32,6.96
29,21,39.96,16.68
30,0,92.0,27.912
30,3,144.0,45.8
30,6,228.0,50.2
30,9,146.0,45.8
30,12,92.0,28.38
30,15,62.0,18.552
30,18,46.44,12.468
30,21,48.6,18.084
31,0,110.0,44.6
31,3,224.0,49.8
31,6,238.0,61.1
31,9,264.0,68.7
31,12,156.0,63.0
31,15,94.0,27.912
31,18,94.0,25.572
31,21,120.0,29.316
1,0,144.0,45.8
1,3,228.0,50.2
1,6,238.0,61.1
1,9,264.0,68.7
1,12,214.0,64.9
1,15,138.0,40.6
1,18,130.0,29.784
1,21,144.0,45.8
2,0,228.0,50.2
2,3,228.0,50.2
2,6,242.0,64.9
2,9,274.0,95.3
2,12,258.0,89.6
2,15,228.0,50.2
2,18,242.0,64.9
2,21,272.0,87.7
3,0,282.0,89.6
3,3,290.0,123.8
3,6,346.0,187.4
3,9,300.0,179.4
3,12,166.0,72.5
3,15,92.0,27.912
3,18,88.0,19.956
3,21,104.0,39.4
4,0,200.0,48.6
4,3,228.0,51.0
4,6,248.0,66.8
4,9,248.0,66.8
4,12,110.0,46.2
4,15,88.0,20.424
4,18,110.0,45.0
4,21,250.0,74.4
5,0,250.0,74.4
5,3,174.0,47.4
5,6,188.0,64.9
5,9,270.0,70.6
5,12,264.0,68.7
5,15,238.0,61.1
5,18,228.0,50.2
5,21,228.0,50.2
6,0,242.0,64.9
6,3,270.0,70.6
6,6,276.0,95.3
6,9,300.0,99.1
6,12,300.0,99.1
6,15,300.0,99.1
6,18,300.0,99.1
6,21,300.0,99.1
