day,hour,pm10,pm25
17,0,238.0,59.2
17,3,236.0,59.2
17,6,144.0,45.8
17,9,92.0,27.912
17,12,88.0,19.956
17,15,92.0,27.444
17,18,128.0,29.784
17,21,144.0,45.8
18,0,200.0,48.6
18,3,196.0,44.2
18,6,212.0,59.2
18,9,210.0,59.2
18,12,200.0,48.6
18,15,228.0,50.2
18,18,218.0,49.8
18,21,192.0,47.0
19,0,188.0,42.2
19,3,194.0,48.2
19,6,242.0,64.9
19,9,272.0,87.7
19,12,256.0,82.0
19,15,222.0,49.8
19,18,222.0,49.8
19,21,194.0,48.2
20,0,188.0,42.2
20,3,194.0,48.2
20,6,228.0,50.2
20,9,228.0,50.2
20,12,194.0,48.2
20,15,138.0,39.8
20,18,132.0,30.252
20,21,132.0,30.252
21,0,142.0,44.2
21,3,218.0,49.0
21,6,224.0,49.8
21,9,236.0,59.2
21,12,236.0,59.2
21,15,228.0,50.2
21,18,224.0,49.8
21,21,224.0,49.8
22,0,228.0,50.2
22,3,242.0,64.9
22,6,124.0,61.1
22,9,41.04,17.616
22,12,21.6,6.0
22,15,14.04,3.84
22,18,12.96,2.88
22,21,17.28,7.92
23,0,48.6,18.084
23,3,90.0,22.764
23,6,122.0,45.4
23,9,228.0,50.2
23,12,228.0,50.2
23,15,120.0,45.4
23,18,90.0,22.296
23,21,92.0,27.912
24,0,132.0,31.188
24,3,132.0,31.188
24,6,136.0,36.2
24,9,174.0,47.4
24,12,144.0,45.8
24,15,132.0,30.252
24,18,132.0,30.252
24,21,132.0,30.252
