day,hour,pm10,pm25
3,0,49.68,18.084
3,3,90.0,23.232
3,6,108.0,28.848
3,9,58.0,26.04
3,12,21.6,8.88
3,15,21.6,4.8
3,18,21.6,6.0
3,21,39.96,16.68
4,0,92.0,27.912
4,3,144.0,45.8
4,6,236.0,59.2
4,9,262.0,68.7
4,12,242.0,64.9
4,15,228.0,50.2
4,18,228.0,50.2
4,21,228.0,50.2
5,0,242.0,64.9
5,3,260.0,66.8
5,6,236.0,57.3
5,9,110.0,45.8
5,12,90.0,20.424
5,15,88.0,20.424
5,18,88.0,19.956
5,21,90.0,25.572
6,0,120.0,30.72
6,3,150.0,46.2
6,6,228.0,50.2
6,9,228.0,50.6
6,12,228.0,50.6
6,15,110.0,45.0
6,18,88.0,19.956
6,21,110.0,45.0
7,0,228.0,50.2
7,3,238.0,61.1
7,6,268.0,85.8
7,9,292.0,97.2
7,12,274.0,95.3
7,15,242.0,64.9
7,18,144.0,45.8
7,21,132.0,30.252
8,0,138.0,39.8
8,3,194.0,48.2
8,6,228.0,50.2
8,9,228.0,50.2
8,12,228.0,50.2
8,15,228.0,50.2
8,18,144.0,45.8
8,21,132.0,30.252
9,0,138.0,39.8
9,3,194.0,48.2
9,6,242.0,64.9
9,9,270.0,70.6
9,12,270.0,70.6
9,15,270.0,70.6
9,18,242.0,64.9
9,21,236.0,61.1
10,0,264.0,68.7
10,3,270.0,70.6
10,6,270.0,70.6
10,9,270.0,70.6
10,12,264.0,68.7
10,15,264.0,64.9
10,18,238.0,61.1
10,21,228.0,50.2
11,0,228.0,50.2
11,3,242.0,64.9
11,6,272.0,85.8
11,9,288.0,89.6
11,12,292.0,97.2
11,15,276.0,95.3
11,18,270.0,72.5
11,21,270.0,72.5
