day,hour,pm10,pm25
16,8,48.6,12.936
16,11,36.72,10.08
16,14,33.48,7.92
16,17,30.24,7.44
16,20,25.92,5.76
16,23,20.52,5.52
17,2,18.36,4.32
17,5,20.52,4.56
17,8,18.36,4.8
17,11,16.2,3.84
17,14,17.28,4.56
17,17,20.52,4.8
17,20,21.6,4.8
17,23,20.52,4.8
18,2,18.36,5.04
18,5,22.68,5.28
18,8,24.84,6.0
18,11,28.08,7.2
18,14,34.56,7.92
18,17,35.64,8.16
18,20,33.48,7.92
18,23,35.64,9.12
19,2,39.96,9.6
19,5,49.68,15.744
19,8,78.0,19.488
19,11,90.0,23.7
19,14,92.0,22.764
19,17,33.48,21.36
19,20,32.4,7.2
19,23,33.48,7.92
