day,hour,pm10,pm25
9,0,194.0,47.8
9,3,224.0,49.8
9,6,242.0,64.9
9,9,268.0,70.6
9,12,240.0,64.9
9,15,228.0,50.2
9,18,228.0,50.2
9,21,228.0,50.2
10,0,228.0,50.2
10,3,242.0,64.9
10,6,270.0,70.6
10,9,270.0,70.6
10,12,270.0,70.6
10,15,270.0,70.6
10,18,270.0,70.6
10,21,270.0,70.6
11,0,270.0,70.6
11,3,272.0,87.7
11,6,292.0,97.2
11,9,292.0,97.2
11,12,292.0,97.2
11,15,274.0,95.3
11,18,270.0,70.6
11,21,262.0,68.7
12,0,236.0,59.2
12,3,240.0,64.9
12,6,268.0,70.6
12,9,270.0,78.2
12,12,280.0,85.8
12,15,280.0,85.8
12,18,282.0,95.3
12,21,292.0,97.2
13,0,272.0,87.7
13,3,270.0,70.6
13,6,274.0,93.4
13,9,298.0,99.1
13,12,300.0,99.1
13,15,274.0,95.3
13,18,264.0,68.7
13,21,264.0,64.9
14,0,264.0,64.9
14,3,264.0,64.9
14,6,264.0,68.7
14,9,270.0,70.6
14,12,270.0,70.6
14,15,250.0,66.8
14,18,228.0,51.4
14,21,242.0,64.9
15,0,274.0,95.3
15,3,300.0,99.1
15,6,300.0,99.1
15,9,300.0,99.1
15,12,300.0,99.1
15,15,274.0,95.3
15,18,264.0,68.7
15,21,264.0,68.7
16,0,270.0,70.6
16,3,270.0,70.6
16,6,270.0,72.5
16,9,288.0,154.4
16,12,320.0,159.4
16,15,278.0,102.9
16,18,274.0,80.1
16,21,274.0,80.1
